millis	leftDistance	rightDistance	accel.x	accel.y	gyro.x	gyro.y	position	sensor1	sensor2	sensor3	sensor4	sensor5	sensor6	sensor7	sensor8	error	leftPWM	rightPWM	lost	last_sighted	Kp	Ki	Kd	Speed	ready
21234	135.51	111.74	0.00	0.00	1.06	125.00	0	1	3	936	954	11	0	0	1	-996	125	0	0	0	0.12	0.010000	1.059049	125.000000	1
21239	135.51	111.74	0.00	0.00	1.06	125.00	1	0	3	937	951	12	1	0	1	-997	125	0	0	0	0.12	0.010000	1.059049	125.000000	1
21254	135.51	112.93	0.00	0.00	1.06	125.00	1	0	0	960	899	13	0	0	0	-1017	125	0	0	0	0.12	0.010000	1.059049	125.000000	1
21260	135.51	112.93	0.00	0.00	1.06	125.00	1	0	0	973	958	46	0	0	0	-1004	125	9	0	0	0.12	0.010000	1.059049	125.000000	1
21275	135.51	114.12	0.00	0.00	1.06	125.00	1	1	2	929	977	509	1	1	2	-674	0	125	0	0	0.12	0.010000	1.059049	125.000000	1
21280	135.51	114.12	0.00	0.00	1.06	125.00	1	0	2	927	991	655	2	1	1	-606	125	119	0	0	0.12	0.010000	1.059049	125.000000	1
21296	136.70	116.49	0.00	0.00	1.06	125.00	1	0	1	916	957	808	0	0	1	-541	125	124	0	0	0.12	0.010000	1.059049	125.000000	1
21301	136.70	116.49	0.00	0.00	1.06	125.00	1	0	0	904	960	829	0	0	0	-528	125	71	0	0	0.12	0.010000	1.059049	125.000000	1
21316	137.89	117.68	0.00	0.00	1.06	125.00	1	1	2	858	970	893	2	2	3	-488	125	105	0	0	0.12	0.010000	1.059049	125.000000	1
21321	137.89	118.87	0.00	0.00	1.06	125.00	1	2	2	832	988	945	2	2	2	-460	125	95	0	0	0.12	0.010000	1.059049	125.000000	1
21337	139.08	120.06	0.00	0.00	1.06	125.00	1	0	0	627	950	953	0	0	0	-372	81	125	0	0	0.12	0.010000	1.059049	125.000000	1
21342	140.27	121.25	0.00	0.00	1.06	125.00	1	0	1	534	966	976	1	0	1	-322	114	125	0	0	0.12	0.010000	1.059049	125.000000	1
21358	141.46	123.63	0.00	0.00	1.06	125.00	1	0	0	395	953	967	0	0	0	-253	85	125	0	0	0.12	0.010000	1.059049	125.000000	1
21363	142.65	124.82	0.00	0.00	1.06	125.00	1	0	0	375	891	934	0	0	0	-246	125	101	0	0	0.12	0.010000	1.059049	125.000000	1
21378	145.02	127.19	0.00	0.00	1.06	125.00	1	1	2	412	947	981	0	0	1	-257	125	80	0	0	0.12	0.010000	1.059049	125.000000	1
21383	146.21	127.19	0.00	0.00	1.06	125.00	1	2	2	406	922	970	0	0	1	-255	125	95	0	0	0.12	0.010000	1.059049	125.000000	1
21399	148.59	130.76	0.00	0.00	1.06	125.00	1	0	1	332	955	975	0	0	0	-216	112	125	0	0	0.12	0.010000	1.059049	125.000000	1
21404	149.78	131.95	0.00	0.00	1.06	125.00	1	0	1	323	938	939	0	0	0	-220	125	93	0	0	0.12	0.010000	1.059049	125.000000	1
21419	153.35	135.51	0.00	0.00	1.06	125.00	1	0	2	265	953	947	0	0	1	-185	112	125	0	0	0.12	0.010000	1.059049	125.000000	1
21424	154.53	136.70	0.00	0.00	1.06	125.00	1	1	1	220	958	928	0	0	1	-164	125	125	0	0	0.12	0.010000	1.059049	125.000000	1
21440	158.10	140.27	0.00	0.00	1.06	125.00	1	1	1	178	984	936	1	0	2	-139	117	125	0	0	0.12	0.010000	1.059049	125.000000	1
21445	159.29	141.46	0.00	0.00	1.06	125.00	1	1	2	191	979	961	0	1	2	-139	125	107	0	0	0.12	0.010000	1.059049	125.000000	1
21460	164.04	146.21	0.00	0.00	1.06	125.00	1	1	2	126	970	976	1	0	2	-90	85	125	0	0	0.12	0.010000	1.059049	125.000000	1
21466	165.23	147.40	0.00	0.00	1.06	125.00	1	0	0	66	981	944	0	0	1	-60	102	125	0	0	0.12	0.010000	1.059049	125.000000	1
21481	169.99	152.16	0.00	0.00	1.06	125.00	1	0	0	63	982	948	0	0	1	-56	125	122	0	0	0.12	0.010000	1.059049	125.000000	1
21486	172.36	153.35	0.00	0.00	1.06	125.00	1	0	1	132	972	974	0	0	1	-95	125	72	0	0	0.12	0.010000	1.059049	125.000000	1
21502	177.12	158.10	0.00	0.00	1.06	125.00	1	0	0	218	967	964	0	0	1	-153	125	44	0	0	0.12	0.010000	1.059049	125.000000	1
21507	178.31	160.48	0.00	0.00	1.06	125.00	1	0	0	228	949	963	1	0	2	-157	125	101	0	0	0.12	0.010000	1.059049	125.000000	1
21522	184.25	166.42	0.00	0.00	1.06	125.00	1	0	0	99	973	937	2	2	2	-83	58	125	0	0	0.12	0.010000	1.059049	125.000000	1
21527	186.63	167.61	0.00	0.00	1.06	125.00	1	0	0	23	957	962	1	0	1	1	36	125	0	0	0.12	0.010000	1.059049	125.000000	1
21543	191.38	173.55	0.00	0.00	1.06	125.00	1	0	0	36	960	957	0	0	0	-1	125	123	0	0	0.12	0.010000	1.059049	125.000000	1
21548	193.76	175.93	0.00	0.00	1.06	125.00	1	0	0	121	967	969	0	0	0	-88	125	22	0	0	0.12	0.010000	1.059049	125.000000	1
21564	199.71	180.69	0.00	0.00	1.06	125.00	1	0	0	382	938	940	0	0	0	-254	125	0	0	0	0.12	0.010000	1.059049	125.000000	1
21569	200.89	183.06	0.00	0.00	1.06	125.00	1	0	0	393	945	964	0	0	1	-252	125	95	0	0	0.12	0.010000	1.059049	125.000000	1
21584	208.03	190.20	0.00	0.00	1.06	125.00	1	0	1	166	976	970	0	0	0	-120	1	125	0	0	0.12	0.010000	1.059049	125.000000	1
21590	210.40	191.38	0.00	0.00	1.06	125.00	1	0	0	48	941	937	0	0	0	-2	1	125	0	0	0.12	0.010000	1.059049	125.000000	1
21605	216.35	197.33	0.00	0.00	1.06	125.00	1	3	3	158	969	957	2	2	3	-117	125	0	0	0	0.12	0.010000	1.059049	125.000000	1
21610	218.72	199.71	0.00	0.00	1.06	125.00	1	5	5	276	977	973	3	2	3	-187	125	27	0	0	0.12	0.010000	1.059049	125.000000	1
21625	223.48	205.65	0.00	0.00	1.06	125.00	1	0	0	390	905	957	0	0	0	-249	125	28	0	0	0.12	0.010000	1.059049	125.000000	1
21631	225.86	208.03	0.00	0.00	1.06	125.00	1	0	0	370	929	961	0	0	1	-239	125	105	0	0	0.12	0.010000	1.059049	125.000000	1
21646	232.99	215.16	0.00	0.00	1.06	125.00	1	1	0	79	983	950	4	2	4	-68	0	125	0	0	0.12	0.010000	1.059049	125.000000	1
21651	235.37	217.54	0.00	0.00	1.06	125.00	1	0	0	9	955	974	0	0	1	4	49	125	0	0	0.12	0.010000	1.059049	125.000000	1
21667	242.50	223.48	0.00	0.00	1.06	125.00	1	0	0	6	944	982	1	0	1	9	119	125	0	0	0.12	0.010000	1.059049	125.000000	1
21672	244.88	225.86	0.00	0.00	1.06	125.00	1	0	1	29	972	973	7	5	6	0	125	116	0	0	0.12	0.010000	1.059049	125.000000	1
21687	252.01	232.99	0.00	0.00	1.06	125.00	1	0	0	50	918	927	0	0	0	2	123	125	0	0	0.12	0.010000	1.059049	125.000000	1
21692	254.39	235.37	0.00	0.00	1.06	125.00	1	0	0	124	944	952	0	0	0	-91	125	15	0	0	0.12	0.010000	1.059049	125.000000	1
21708	261.52	242.50	0.00	0.00	1.06	125.00	1	0	0	285	945	947	2	0	0	-196	125	0	0	0	0.12	0.010000	1.059049	125.000000	1
21713	263.90	246.07	0.00	0.00	1.06	125.00	1	0	0	245	956	975	1	0	0	-165	114	125	0	0	0.12	0.010000	1.059049	125.000000	1
21728	272.22	253.20	0.00	0.00	1.06	125.00	1	0	1	20	976	966	2	0	0	-3	0	125	0	0	0.12	0.010000	1.059049	125.000000	1
21733	274.59	256.76	0.00	0.00	1.06	125.00	1	0	1	12	973	976	0	0	0	0	122	125	0	0	0.12	0.010000	1.059049	125.000000	1
21749	281.73	263.90	0.00	0.00	1.06	125.00	1	3	4	11	945	970	0	0	0	6	118	125	0	0	0.12	0.010000	1.059049	125.000000	1
21754	285.29	267.46	0.00	0.00	1.06	125.00	1	3	4	10	960	951	0	0	0	-3	125	116	0	0	0.12	0.010000	1.059049	125.000000	1
21770	293.61	275.78	0.00	0.00	1.06	125.00	1	4	4	8	940	961	0	0	0	5	116	125	0	0	0.12	0.010000	1.059049	125.000000	1
21775	295.99	279.35	0.00	0.00	1.06	125.00	1	4	4	6	908	959	0	0	0	13	115	125	0	0	0.12	0.010000	1.059049	125.000000	1
21790	305.50	287.67	0.00	0.00	1.06	125.00	1	2	1	3	947	969	0	0	0	5	125	118	0	0	0.12	0.010000	1.059049	125.000000	1
21795	309.07	290.05	0.00	0.00	1.06	125.00	1	1	0	4	943	965	1	0	0	5	125	125	0	0	0.12	0.010000	1.059049	125.000000	1
21811	317.39	299.56	0.00	0.00	1.06	125.00	1	2	2	17	978	989	9	9	7	2	125	123	0	0	0.12	0.010000	1.059049	125.000000	1
21816	320.95	303.12	0.00	0.00	1.06	125.00	1	0	0	12	973	955	4	4	3	-5	125	117	0	0	0.12	0.010000	1.059049	125.000000	1
21831	330.46	312.63	0.00	0.00	1.06	125.00	1	0	0	22	948	979	3	3	3	8	111	125	0	0	0.12	0.010000	1.059049	125.000000	1
21836	334.03	315.01	0.00	0.00	1.06	125.00	1	0	1	105	966	988	7	7	7	-72	125	31	0	0	0.12	0.010000	1.059049	125.000000	1
21852	343.54	325.71	0.00	0.00	1.06	125.00	1	0	0	121	924	951	0	0	0	-85	125	101	0	0	0.12	0.010000	1.059049	125.000000	1
21857	347.11	329.28	0.00	0.00	1.06	125.00	1	0	0	82	929	938	0	0	0	-61	108	125	0	0	0.12	0.010000	1.059049	125.000000	1
21872	357.81	338.79	0.00	0.00	1.06	125.00	1	4	4	33	956	938	0	0	2	-5	67	125	0	0	0.12	0.010000	1.059049	125.000000	1
21878	361.37	342.35	0.00	0.00	1.06	125.00	1	3	3	22	962	928	0	0	2	-9	125	120	0	0	0.12	0.010000	1.059049	125.000000	1
21893	372.07	353.05	0.00	0.00	1.06	125.00	1	9	8	85	974	958	3	2	4	-68	125	54	0	0	0.12	0.010000	1.059049	125.000000	1
21898	375.64	356.62	0.00	0.00	1.06	125.00	1	9	10	143	975	965	8	7	7	-106	125	71	0	0	0.12	0.010000	1.059049	125.000000	1
21914	386.33	367.31	0.00	0.00	1.06	125.00	1	0	0	12	947	948	2	0	0	0	13	125	0	0	0.12	0.010000	1.059049	125.000000	1
21919	389.90	370.88	0.00	0.00	1.06	125.00	1	0	1	13	970	955	3	0	0	-4	125	121	0	0	0.12	0.010000	1.059049	125.000000	1
21934	400.60	382.77	0.00	0.00	1.06	125.00	1	2	1	9	964	939	0	0	0	-7	125	121	0	0	0.12	0.010000	1.059049	125.000000	1
21939	404.17	386.33	0.00	0.00	1.06	125.00	1	0	0	3	928	918	0	0	0	-3	122	125	0	0	0.12	0.010000	1.059049	125.000000	1
21955	416.05	397.03	0.00	0.00	1.06	125.00	1	12	9	47	973	978	4	3	2	1	121	125	0	0	0.12	0.010000	1.059049	125.000000	1
21960	420.81	401.79	0.00	0.00	1.06	125.00	1	8	5	20	964	963	2	0	0	-1	125	123	0	0	0.12	0.010000	1.059049	125.000000	1
21976	432.69	413.68	0.00	0.00	1.06	125.00	1	0	0	8	945	938	0	0	0	-2	125	124	0	0	0.12	0.010000	1.059049	125.000000	1
21981	436.26	417.24	0.00	0.00	1.06	125.00	1	4	5	34	955	968	5	2	1	3	120	125	0	0	0.12	0.010000	1.059049	125.000000	1
21996	449.34	430.32	0.00	0.00	1.06	125.00	1	0	0	11	919	947	0	0	0	7	120	125	0	0	0.12	0.010000	1.059049	125.000000	1
22001	452.90	433.88	0.00	0.00	1.06	125.00	1	0	0	10	899	958	0	0	0	15	115	125	0	0	0.12	0.010000	1.059049	125.000000	1
22017	465.98	446.96	0.00	0.00	1.06	125.00	1	9	5	284	963	965	0	0	0	-193	125	0	0	0	0.12	0.010000	1.059049	125.000000	1
22022	470.73	450.53	0.00	0.00	1.06	125.00	1	2	2	325	956	957	0	0	0	-218	125	71	0	0	0.12	0.010000	1.059049	125.000000	1
22037	482.62	463.60	0.00	0.00	1.06	125.00	1	1	1	487	945	935	0	0	0	-311	125	0	0	0	0.12	0.010000	1.059049	125.000000	1
22042	487.38	467.17	0.00	0.00	1.06	125.00	1	0	0	456	921	909	0	0	0	-302	125	96	0	0	0.12	0.010000	1.059049	125.000000	1
22058	500.45	480.24	0.00	0.00	1.06	125.00	1	2	3	454	965	967	2	0	0	-285	125	107	0	0	0.12	0.010000	1.059049	125.000000	1
22063	504.02	485.00	0.00	0.00	1.06	125.00	1	2	2	403	972	954	2	1	1	-264	125	113	0	0	0.12	0.010000	1.059049	125.000000	1
22078	517.09	498.07	0.00	0.00	1.06	125.00	1	1	1	200	947	957	0	0	0	-141	14	125	0	0	0.12	0.010000	1.059049	125.000000	1
22083	521.85	502.83	0.00	0.00	1.06	125.00	1	9	10	313	985	986	5	4	6	-206	125	30	0	0	0.12	0.010000	1.059049	125.000000	1
22099	534.92	517.09	0.00	0.00	1.06	125.00	1	3	3	132	943	957	0	0	0	-94	19	125	0	0	0.12	0.010000	1.059049	125.000000	1
22104	539.68	521.85	0.00	0.00	1.06	125.00	1	0	0	17	908	935	0	0	0	7	18	125	0	0	0.12	0.010000	1.059049	125.000000	1
22119	552.76	533.74	0.00	0.00	1.06	125.00	1	0	0	7	912	953	2	0	0	10	121	125	0	0	0.12	0.010000	1.059049	125.000000	1
22125	557.51	538.49	0.00	0.00	1.06	125.00	1	0	0	8	919	970	1	0	0	13	121	125	0	0	0.12	0.010000	1.059049	125.000000	1
22140	571.78	552.76	0.00	0.00	1.06	125.00	1	0	0	115	965	954	0	0	0	-88	125	7	0	0	0.12	0.010000	1.059049	125.000000	1
22145	576.53	557.51	0.00	0.00	1.06	125.00	1	0	0	239	942	957	0	0	0	-165	125	23	0	0	0.12	0.010000	1.059049	125.000000	1
22161	588.42	570.59	0.00	0.00	1.06	125.00	1	2	3	483	945	971	1	0	0	-297	125	0	0	0	0.12	0.010000	1.059049	125.000000	1
22166	594.36	575.34	0.00	0.00	1.06	125.00	1	7	8	476	977	973	6	2	3	-296	125	88	0	0	0.12	0.010000	1.059049	125.000000	1
22182	607.44	589.61	0.00	0.00	1.06	125.00	1	1	1	73	945	987	3	1	0	-45	0	125	0	0	0.12	0.010000	1.059049	125.000000	1
22187	612.19	594.36	0.00	0.00	1.06	125.00	1	3	3	61	959	996	9	6	3	-37	122	125	0	0	0.12	0.010000	1.059049	125.000000	1
22202	626.46	608.63	0.00	0.00	1.06	125.00	1	0	0	3	901	957	2	1	1	15	68	125	0	0	0.12	0.010000	1.059049	125.000000	1
22207	631.21	613.38	0.00	0.00	1.06	125.00	1	0	0	0	918	940	0	0	0	5	125	116	0	0	0.12	0.010000	1.059049	125.000000	1
22223	645.48	627.64	0.00	0.00	1.06	125.00	1	0	0	0	916	892	0	0	0	-7	125	112	0	0	0.12	0.010000	1.059049	125.000000	1
22228	650.23	632.40	0.00	0.00	1.06	125.00	1	0	1	2	926	917	0	0	0	-3	122	125	0	0	0.12	0.010000	1.059049	125.000000	1
22243	664.50	647.85	0.00	0.00	1.06	125.00	1	7	6	9	977	990	8	4	4	3	119	125	0	0	0.12	0.010000	1.059049	125.000000	1
22249	669.25	652.61	0.00	0.00	1.06	125.00	1	5	4	5	958	981	3	0	0	5	123	125	0	0	0.12	0.010000	1.059049	125.000000	1
22264	684.70	666.87	0.00	0.00	1.06	125.00	1	0	0	2	951	977	6	2	1	6	124	125	0	0	0.12	0.010000	1.059049	125.000000	1
22269	689.46	672.82	0.00	0.00	1.06	125.00	1	0	0	0	936	972	2	0	0	9	121	125	0	0	0.12	0.010000	1.059049	125.000000	1
22284	704.91	687.08	0.00	0.00	1.06	125.00	1	0	0	0	915	945	0	0	0	8	125	125	0	0	0.12	0.010000	1.059049	125.000000	1
22290	709.67	693.02	0.00	0.00	1.06	125.00	1	0	0	0	911	952	0	0	0	11	121	125	0	0	0.12	0.010000	1.059049	125.000000	1
