millis	leftDistance	rightDistance	accel.x	accel.y	gyro.x	gyro.y	position	sensor1	sensor2	sensor3	sensor4	sensor5	sensor6	sensor7	sensor8	error	leftPWM	rightPWM	lost	last_sighted	Kp	Ki	Kd	Speed	ready
34891	7337.98	7831.30	0.00	0.00	1.50	125.00	0	5	5	4	5	991	972	17	10	995	0	125	0	2	0.30	0.010000	1.500000	125.000000	1
34896	7337.98	7831.30	0.00	0.00	1.50	125.00	1	5	5	5	6	992	974	17	10	995	0	125	0	2	0.30	0.010000	1.500000	125.000000	1
34911	7337.98	7831.30	0.00	0.00	1.50	125.00	1	2	2	2	3	955	959	7	4	1001	0	125	0	2	0.30	0.010000	1.500000	125.000000	1
34917	7339.17	7831.30	0.00	0.00	1.50	125.00	1	3	3	3	4	996	972	9	7	993	0	125	0	2	0.30	0.010000	1.500000	125.000000	1
34932	7339.17	7831.30	0.00	0.00	1.50	125.00	1	4	4	3	6	1000	976	9	7	993	0	125	0	2	0.30	0.010000	1.500000	125.000000	1
34937	7340.36	7831.30	0.00	0.00	1.50	125.00	1	4	4	3	6	988	962	9	7	993	0	125	0	2	0.30	0.010000	1.500000	125.000000	1
34953	7341.54	7831.30	0.00	0.00	1.50	125.00	1	4	3	3	59	1000	952	7	7	944	0	125	0	2	0.30	0.010000	1.500000	125.000000	1
34958	7342.73	7831.30	0.00	0.00	1.50	125.00	1	4	4	3	329	1000	936	8	6	767	125	98	0	2	0.30	0.010000	1.500000	125.000000	1
34974	7343.92	7832.49	0.00	0.00	1.50	125.00	1	4	3	3	889	989	902	5	7	504	125	0	0	2	0.30	0.010000	1.500000	125.000000	1
34979	7345.11	7832.49	0.00	0.00	1.50	125.00	1	3	2	3	939	999	816	4	5	455	58	125	0	2	0.30	0.010000	1.500000	125.000000	1
34994	7346.30	7832.49	0.00	0.00	1.50	125.00	1	6	5	5	927	1000	621	8	8	379	122	125	0	2	0.30	0.010000	1.500000	125.000000	1
