millis	leftDistance	rightDistance	accel.x	accel.y	gyro.x	gyro.y	position	sensor1	sensor2	sensor3	sensor4	sensor5	sensor6	sensor7	sensor8	error	leftPWM	rightPWM	lost	last_sighted	Kp	Ki	Kd	Speed	ready
54887	9635.78	10168.32	0.00	0.00	1.50	125.00	0	1	1	261	1000	832	0	0	0	-228	125	89	0	1	0.16	0.00	1.50	125.00	1
54902	9636.97	10169.51	0.00	0.00	1.50	125.00	1	0	0	232	1000	825	0	0	0	-212	125	117	0	1	0.16	0.00	1.50	125.00	1
54917	9636.97	10169.51	0.00	0.00	1.50	125.00	1	1	0	248	994	832	0	0	0	-219	125	81	0	1	0.16	0.00	1.50	125.00	1
54932	9636.97	10170.70	0.00	0.00	1.50	125.00	1	1	3	183	960	796	0	0	0	-184	102	125	0	1	0.16	0.00	1.50	125.00	1
54947	9638.15	10170.70	0.00	0.00	1.50	125.00	1	1	0	20	1000	841	0	0	0	-44	0	125	0	1	0.16	0.00	1.50	125.00	1
54962	9639.34	10171.89	0.00	0.00	1.50	125.00	1	0	0	213	1000	815	0	0	0	-204	125	0	0	1	0.16	0.00	1.50	125.00	1
54977	9640.53	10173.08	0.00	0.00	1.50	125.00	1	1	0	724	1000	849	0	0	0	-452	125	0	0	1	0.16	0.00	1.50	125.00	1
54992	9641.72	10174.27	0.00	0.00	1.50	125.00	1	1	0	689	1000	867	1	0	0	-431	125	90	0	1	0.16	0.00	1.50	125.00	1
55008	9642.91	10176.65	0.00	0.00	1.50	125.00	1	0	0	132	1000	825	0	0	0	-146	0	125	0	1	0.16	0.00	1.50	125.00	1
55023	9645.29	10176.65	0.00	0.00	1.50	125.00	1	0	0	12	996	843	0	1	0	-42	0	125	0	1	0.16	0.00	1.50	125.00	1
55038	9646.48	10177.83	0.00	0.00	1.50	125.00	1	1	0	337	957	840	0	0	0	-265	125	0	0	1	0.16	0.00	1.50	125.00	1
55053	9647.66	10180.21	0.00	0.00	1.50	125.00	1	0	0	902	1000	829	1	1	1	-527	125	0	0	1	0.16	0.00	1.50	125.00	1
55068	9650.04	10181.40	0.00	0.00	1.50	125.00	1	1	0	907	996	822	0	1	0	-532	125	36	0	1	0.16	0.00	1.50	125.00	1
55083	9651.23	10183.78	0.00	0.00	1.50	125.00	1	0	0	654	981	874	2	3	2	-413	11	125	0	1	0.16	0.00	1.50	125.00	1
55098	9653.61	10184.97	0.00	0.00	1.50	125.00	1	0	0	243	987	826	1	2	2	-217	0	125	0	1	0.16	0.00	1.50	125.00	1
55113	9654.80	10186.16	0.00	0.00	1.50	125.00	1	1	0	518	982	859	1	1	1	-356	125	0	0	1	0.16	0.00	1.50	125.00	1
55128	9657.17	10188.53	0.00	0.00	1.50	125.00	1	0	0	892	1000	805	2	3	2	-533	125	0	0	1	0.16	0.00	1.50	125.00	1
55143	9658.36	10189.72	0.00	0.00	1.50	125.00	1	0	0	910	1000	845	0	1	0	-524	125	58	0	1	0.16	0.00	1.50	125.00	1
55158	9660.74	10192.10	0.00	0.00	1.50	125.00	1	0	0	660	1000	847	3	3	1	-426	45	125	0	1	0.16	0.00	1.50	125.00	1
55173	9661.93	10194.48	0.00	0.00	1.50	125.00	1	0	0	183	981	808	3	5	2	-184	0	125	0	1	0.16	0.00	1.50	125.00	1
55188	9664.31	10195.67	0.00	0.00	1.50	125.00	1	1	0	331	960	857	1	2	0	-256	125	0	0	1	0.16	0.00	1.50	125.00	1
55203	9665.50	10198.04	0.00	0.00	1.50	125.00	1	2	0	816	1000	822	2	3	1	-498	125	0	0	1	0.16	0.00	1.50	125.00	1
55219	9667.87	10200.42	0.00	0.00	1.50	125.00	1	1	0	622	998	847	2	2	0	-409	55	125	0	1	0.16	0.00	1.50	125.00	1
55234	9670.25	10202.80	0.00	0.00	1.50	125.00	1	1	0	138	942	827	1	2	1	-139	0	125	0	1	0.16	0.00	1.50	125.00	1
55249	9672.63	10203.99	0.00	0.00	1.50	125.00	1	1	0	197	977	827	1	1	0	-186	125	26	0	1	0.16	0.00	1.50	125.00	1
55264	9675.00	10207.55	0.00	0.00	1.50	125.00	1	0	0	638	1000	856	1	1	0	-413	125	0	0	1	0.16	0.00	1.50	125.00	1
55279	9677.38	10209.93	0.00	0.00	1.50	125.00	1	1	0	549	985	847	1	0	0	-375	125	124	0	1	0.16	0.00	1.50	125.00	1
55294	9679.76	10212.31	0.00	0.00	1.50	125.00	1	1	0	24	962	822	1	2	0	-40	0	125	0	1	0.16	0.00	1.50	125.00	1
55309	9683.33	10214.68	0.00	0.00	1.50	125.00	1	1	0	10	1000	807	0	0	0	-54	125	96	0	1	0.16	0.00	1.50	125.00	1
55324	9685.70	10218.25	0.00	0.00	1.50	125.00	1	0	0	157	981	839	1	1	0	-156	125	0	0	1	0.16	0.00	1.50	125.00	1
55339	9688.08	10220.63	0.00	0.00	1.50	125.00	1	1	0	313	950	873	0	0	0	-238	125	0	0	1	0.16	0.00	1.50	125.00	1
55354	9690.46	10224.19	0.00	0.00	1.50	125.00	1	0	0	17	974	839	0	0	0	-38	0	125	0	1	0.16	0.00	1.50	125.00	1
55369	9695.21	10226.57	0.00	0.00	1.50	125.00	1	0	0	1	998	857	0	0	0	-39	125	118	0	1	0.16	0.00	1.50	125.00	1
55384	9697.59	10230.14	0.00	0.00	1.50	125.00	1	0	0	2	1000	855	0	0	0	-40	125	118	0	1	0.16	0.00	1.50	125.00	1
55399	9701.16	10233.70	0.00	0.00	1.50	125.00	1	0	0	3	1000	830	0	0	0	-47	125	108	0	1	0.16	0.00	1.50	125.00	1
55414	9704.72	10237.27	0.00	0.00	1.50	125.00	1	1	0	6	1000	838	0	0	0	-45	125	122	0	1	0.16	0.00	1.50	125.00	1
55430	9709.48	10240.84	0.00	0.00	1.50	125.00	1	3	0	14	975	840	0	0	0	-38	121	125	0	1	0.16	0.00	1.50	125.00	1
55445	9714.23	10245.59	0.00	0.00	1.50	125.00	1	1	0	179	974	857	0	0	0	-163	125	0	0	1	0.16	0.00	1.50	125.00	1
55460	9717.80	10249.16	0.00	0.00	1.50	125.00	1	1	0	465	999	857	0	0	0	-332	125	0	0	1	0.16	0.00	1.50	125.00	1
55475	9722.55	10253.91	0.00	0.00	1.50	125.00	1	0	0	173	1000	836	0	0	0	-170	0	125	0	1	0.16	0.00	1.50	125.00	1
55490	9727.31	10257.48	0.00	0.00	1.50	125.00	1	1	0	3	995	859	0	0	0	-37	0	125	0	1	0.16	0.00	1.50	125.00	1
55505	9732.06	10262.23	0.00	0.00	1.50	125.00	1	0	0	7	1000	853	0	0	0	-40	125	115	0	1	0.16	0.00	1.50	125.00	1
55520	9738.01	10266.99	0.00	0.00	1.50	125.00	1	1	1	493	1000	835	2	2	0	-354	125	0	0	1	0.16	0.00	1.50	125.00	1
55535	9742.76	10271.74	0.00	0.00	1.50	125.00	1	1	1	895	1000	839	1	0	0	-521	125	0	0	1	0.16	0.00	1.50	125.00	1
55550	9746.33	10276.50	0.00	0.00	1.50	125.00	1	0	0	905	964	828	2	1	0	-529	125	32	0	1	0.16	0.00	1.50	125.00	1
55565	9751.08	10281.25	0.00	0.00	1.50	125.00	1	1	0	508	995	868	3	2	0	-349	0	125	0	1	0.16	0.00	1.50	125.00	1
