millis	leftDistance	rightDistance	accel.x	accel.y	gyro.x	gyro.y	position	sensor1	sensor2	sensor3	sensor4	sensor5	sensor6	sensor7	sensor8	error	leftPWM	rightPWM	lost	last_sighted	Kp	Ki	Kd	Speed	ready
41742	1483.52	1484.71	0.00	0.00	0.00	120.00	1	0	0	830	975	933	0	0	0	-463	120	0	0	1	0.27	0.00	0.00	120.00	1
41757	1491.85	1493.03	0.00	0.00	0.00	120.00	1	0	0	831	1000	939	0	0	0	-462	120	0	0	1	0.27	0.00	0.00	120.00	1
41772	1498.98	1502.54	0.00	0.00	0.00	120.00	1	0	0	427	983	971	0	0	0	-272	120	47	0	1	0.27	0.00	0.00	120.00	1
41787	1507.30	1512.05	0.00	0.00	0.00	120.00	1	0	0	2	991	982	0	0	0	-3	120	120	0	1	0.27	0.00	0.00	120.00	1
41802	1515.62	1521.56	0.00	0.00	0.00	120.00	1	1	0	0	992	974	0	0	0	-5	120	119	0	1	0.27	0.00	0.00	120.00	1
41817	1523.94	1531.07	0.00	0.00	0.00	120.00	1	0	0	0	942	939	0	0	0	-1	120	120	0	1	0.27	0.00	0.00	120.00	1
41832	1532.26	1540.58	0.00	0.00	0.00	120.00	1	1	0	0	938	960	10	0	0	5	119	120	0	1	0.27	0.00	0.00	120.00	1
41847	1540.58	1550.09	0.00	0.00	0.00	120.00	1	0	0	0	885	974	811	0	0	472	0	120	0	1	0.27	0.00	0.00	120.00	1
41863	1550.09	1559.60	0.00	0.00	0.00	120.00	1	0	0	0	806	995	977	1	0	561	0	120	0	1	0.27	0.00	0.00	120.00	1
41878	1560.79	1569.11	0.00	0.00	0.00	120.00	1	0	0	0	691	986	976	0	0	607	0	120	0	1	0.27	0.00	0.00	120.00	1
41893	1570.30	1577.43	0.00	0.00	0.00	120.00	1	0	0	0	884	942	948	0	0	523	0	120	0	1	0.27	0.00	0.00	120.00	1
41908	1581.00	1585.75	0.00	0.00	0.00	120.00	1	0	0	0	966	977	491	0	0	304	38	120	0	1	0.27	0.00	0.00	120.00	1
41923	1591.70	1594.08	0.00	0.00	0.00	120.00	1	2	1	1	974	937	1	0	0	-10	120	118	0	1	0.27	0.00	0.00	120.00	1
41938	1602.40	1602.40	0.00	0.00	0.00	120.00	1	2	1	0	976	958	0	0	0	-5	120	119	0	1	0.27	0.00	0.00	120.00	1
41953	1613.10	1610.72	0.00	0.00	0.00	120.00	1	1	0	798	956	938	0	0	0	-448	120	0	0	1	0.27	0.00	0.00	120.00	1
41968	1623.79	1619.04	0.00	0.00	0.00	120.00	1	0	0	985	995	10	0	0	0	-998	120	0	0	1	0.27	0.00	0.00	120.00	1
41983	1633.30	1628.55	0.00	0.00	0.00	120.00	1	1	1	1000	994	0	0	0	0	-1002	120	0	0	1	0.27	0.00	0.00	120.00	1
41998	1642.81	1638.06	0.00	0.00	0.00	120.00	1	0	1	994	954	0	0	0	0	-1011	120	0	0	1	0.27	0.00	0.00	120.00	1
42013	1652.32	1647.57	0.00	0.00	0.00	120.00	1	0	0	982	968	0	0	0	0	-1004	120	0	0	1	0.27	0.00	0.00	120.00	1
42028	1661.83	1657.08	0.00	0.00	0.00	120.00	1	1	2	981	987	1	1	1	0	-999	120	0	0	1	0.27	0.00	0.00	120.00	1
42043	1670.15	1667.78	0.00	0.00	0.00	120.00	1	1	0	981	982	0	0	0	0	-1000	120	0	0	1	0.27	0.00	0.00	120.00	1
42058	1677.29	1678.47	0.00	0.00	0.00	120.00	1	2	2	1000	973	3	0	0	0	-1007	120	0	0	1	0.27	0.00	0.00	120.00	1
