millis	leftDistance	rightDistance	accel.x	accel.y	gyro.x	gyro.y	position	sensor1	sensor2	sensor3	sensor4	sensor5	sensor6	sensor7	sensor8	error	leftPWM	rightPWM	lost	last_sighted	Kp	Ki	Kd	Speed	ready
115925	13615.62	14684.28	0.00	0.00	0.01	120.00	0	1	0	0	912	938	0	0	1	7	115	120	0	2	0.16	0.63	0.01	120.00	1
115941	13616.81	14684.28	0.00	0.00	0.01	120.00	1	0	0	0	921	921	0	0	0	0	120	120	0	2	0.16	0.63	0.01	120.00	1
115956	13616.81	14684.28	0.00	0.00	0.01	120.00	1	0	0	1	934	969	0	0	0	9	113	120	0	2	0.16	0.63	0.01	120.00	1
115971	13617.99	14685.47	0.00	0.00	0.01	120.00	1	1	0	2	976	975	0	0	1	-1	120	120	0	2	0.16	0.63	0.01	120.00	1
115986	13619.18	14686.65	0.00	0.00	0.01	120.00	1	0	0	4	965	971	0	0	0	1	120	120	0	2	0.16	0.63	0.01	120.00	1
116001	13621.56	14686.65	0.00	0.00	0.01	120.00	1	1	0	41	965	900	0	0	0	-18	120	106	0	2	0.16	0.63	0.01	120.00	1
116016	13622.75	14687.84	0.00	0.00	0.01	120.00	1	1	0	417	927	968	0	0	0	-262	120	0	0	2	0.16	0.63	0.01	120.00	1
116031	13623.94	14689.03	0.00	0.00	0.01	120.00	1	0	1	613	986	971	0	0	0	-361	120	0	0	2	0.16	0.63	0.01	120.00	1
116046	13623.94	14691.41	0.00	0.00	0.01	120.00	1	2	1	390	991	991	0	0	1	-247	120	0	0	2	0.16	0.63	0.01	120.00	1
116061	13625.13	14692.60	0.00	0.00	0.01	120.00	1	1	1	10	981	997	0	0	0	4	115	120	0	2	0.16	0.63	0.01	120.00	1
116076	13626.32	14694.98	0.00	0.00	0.01	120.00	1	1	0	1	974	934	0	0	0	-11	120	112	0	2	0.16	0.63	0.01	120.00	1
116091	13627.50	14697.35	0.00	0.00	0.01	120.00	1	1	0	0	968	1000	0	0	0	8	114	120	0	2	0.16	0.63	0.01	120.00	1
116106	13628.69	14698.54	0.00	0.00	0.01	120.00	1	2	1	1	947	932	1	0	0	-4	120	117	0	2	0.16	0.63	0.01	120.00	1
116121	13631.07	14700.92	0.00	0.00	0.01	120.00	1	2	0	1	981	991	0	0	0	2	119	120	0	2	0.16	0.63	0.01	120.00	1
116136	13632.26	14703.30	0.00	0.00	0.01	120.00	1	2	0	0	1000	983	0	0	0	-5	120	116	0	2	0.16	0.63	0.01	120.00	1
116152	13635.83	14705.67	0.00	0.00	0.01	120.00	1	1	0	0	994	980	0	0	0	-4	120	117	0	2	0.16	0.63	0.01	120.00	1
116167	13638.20	14708.05	0.00	0.00	0.01	120.00	1	2	1	1	1000	987	0	0	0	-4	120	117	0	2	0.16	0.63	0.01	120.00	1
116182	13640.58	14711.62	0.00	0.00	0.01	120.00	1	3	2	1	1000	955	1	0	0	-12	120	111	0	2	0.16	0.63	0.01	120.00	1
116197	13644.15	14714.00	0.00	0.00	0.01	120.00	1	2	0	1	990	908	1	1	0	-22	120	103	0	2	0.16	0.63	0.01	120.00	1
116212	13647.71	14716.37	0.00	0.00	0.01	120.00	1	2	0	1	989	923	1	0	0	-18	120	106	0	2	0.16	0.63	0.01	120.00	1
116227	13650.09	14719.94	0.00	0.00	0.01	120.00	1	2	0	1	987	945	2	0	0	-11	120	112	0	2	0.16	0.63	0.01	120.00	1
116242	13653.66	14723.50	0.00	0.00	0.01	120.00	1	1	0	0	979	946	0	0	0	-9	120	113	0	2	0.16	0.63	0.01	120.00	1
116257	13658.41	14727.07	0.00	0.00	0.01	120.00	1	1	0	1	969	958	1	0	0	-3	120	118	0	2	0.16	0.63	0.01	120.00	1
116272	13661.98	14730.64	0.00	0.00	0.01	120.00	1	1	0	0	944	943	1	0	0	-1	120	120	0	2	0.16	0.63	0.01	120.00	1
116287	13665.54	14734.20	0.00	0.00	0.01	120.00	1	0	0	0	927	968	0	0	0	10	112	120	0	2	0.16	0.63	0.01	120.00	1
116302	13670.30	14738.96	0.00	0.00	0.01	120.00	1	1	0	0	958	971	0	0	0	3	118	120	0	2	0.16	0.63	0.01	120.00	1
116317	13675.05	14742.52	0.00	0.00	0.01	120.00	1	2	0	0	970	967	0	0	0	-1	120	120	0	2	0.16	0.63	0.01	120.00	1
116332	13679.81	14747.28	0.00	0.00	0.01	120.00	1	1	0	0	925	926	0	0	0	0	120	120	0	2	0.16	0.63	0.01	120.00	1
116347	13685.75	14752.03	0.00	0.00	0.01	120.00	1	1	0	1	965	975	0	0	0	2	119	120	0	2	0.16	0.63	0.01	120.00	1
116363	13691.69	14756.79	0.00	0.00	0.01	120.00	1	1	0	7	975	938	0	0	0	-10	120	112	0	2	0.16	0.63	0.01	120.00	1
116378	13696.45	14761.54	0.00	0.00	0.01	120.00	1	0	0	242	955	958	0	0	0	-168	120	0	0	2	0.16	0.63	0.01	120.00	1
116393	13701.20	14767.49	0.00	0.00	0.01	120.00	1	2	1	670	982	983	0	0	0	-382	120	0	0	2	0.16	0.63	0.01	120.00	1
116408	13707.15	14773.43	0.00	0.00	0.01	120.00	1	2	0	572	981	1000	1	0	0	-333	120	0	0	2	0.16	0.63	0.01	120.00	1
116423	13711.90	14779.38	0.00	0.00	0.01	120.00	1	2	0	19	988	951	0	0	0	-10	120	116	0	2	0.16	0.63	0.01	120.00	1
116438	13716.66	14785.32	0.00	0.00	0.01	120.00	1	2	0	1	991	956	0	0	0	-9	120	113	0	2	0.16	0.63	0.01	120.00	1
116453	13722.60	14791.26	0.00	0.00	0.01	120.00	1	1	0	0	937	964	1	2	0	7	115	120	0	2	0.16	0.63	0.01	120.00	1
116468	13727.36	14798.39	0.00	0.00	0.01	120.00	1	1	0	0	970	962	1	0	0	-3	120	118	0	2	0.16	0.63	0.01	120.00	1
116483	13733.30	14804.34	0.00	0.00	0.01	120.00	1	0	0	0	976	948	7	0	0	-8	120	114	0	2	0.16	0.63	0.01	120.00	1
116498	13738.05	14811.47	0.00	0.00	0.01	120.00	1	0	0	0	974	969	432	0	0	271	0	120	0	2	0.16	0.63	0.01	120.00	1
116513	13745.19	14817.41	0.00	0.00	0.01	120.00	1	1	0	0	958	952	911	0	0	483	0	120	0	2	0.16	0.63	0.01	120.00	1
116528	13751.13	14823.36	0.00	0.00	0.01	120.00	1	0	0	0	934	965	890	0	0	484	0	120	0	2	0.16	0.63	0.01	120.00	1
116543	13758.26	14828.11	0.00	0.00	0.01	120.00	1	1	0	0	945	958	381	0	0	253	0	120	0	2	0.16	0.63	0.01	120.00	1
116559	13765.40	14834.06	0.00	0.00	0.01	120.00	1	1	0	0	988	981	2	0	0	-2	120	116	0	2	0.16	0.63	0.01	120.00	1
116574	13773.72	14840.00	0.00	0.00	0.01	120.00	1	1	0	0	984	952	0	0	0	-9	120	113	0	2	0.16	0.63	0.01	120.00	1
116589	13780.85	14844.75	0.00	0.00	0.01	120.00	1	0	0	24	944	943	0	0	0	-1	120	120	0	2	0.16	0.63	0.01	120.00	1
116604	13787.98	14850.70	0.00	0.00	0.01	120.00	1	2	3	930	981	944	0	0	0	-496	120	0	0	2	0.16	0.63	0.01	120.00	1
116619	13795.11	14856.64	0.00	0.00	0.01	120.00	1	1	0	955	942	9	0	0	0	-1004	120	0	0	2	0.16	0.63	0.01	120.00	1
116634	13802.25	14862.58	0.00	0.00	0.01	120.00	1	2	2	1000	940	1	0	0	0	-1016	120	0	0	2	0.16	0.63	0.01	120.00	1
116649	13809.38	14869.72	0.00	0.00	0.01	120.00	1	0	1	990	961	1	0	0	0	-1008	120	0	0	2	0.16	0.63	0.01	120.00	1
116664	13815.32	14876.85	0.00	0.00	0.01	120.00	1	0	0	1000	947	2	0	0	0	-1014	120	0	0	2	0.16	0.63	0.01	120.00	1
116679	13820.08	14883.98	0.00	0.00	0.01	120.00	1	0	0	972	972	12	0	0	0	-1000	120	0	0	2	0.16	0.63	0.01	120.00	1
116694	13826.02	14892.30	0.00	0.00	0.01	120.00	1	0	0	949	973	939	0	0	0	-504	120	0	0	2	0.16	0.63	0.01	120.00	1
116709	13830.78	14899.44	0.00	0.00	0.01	120.00	1	0	0	11	944	946	1	0	0	0	115	120	0	2	0.16	0.63	0.01	120.00	1
116724	13836.72	14907.76	0.00	0.00	0.01	120.00	1	1	0	1	992	980	0	1	0	-4	120	117	0	2	0.16	0.63	0.01	120.00	1
116739	13841.47	14914.89	0.00	0.00	0.01	120.00	1	0	0	0	949	954	29	2	0	1	120	120	0	2	0.16	0.63	0.01	120.00	1
116754	13847.42	14923.21	0.00	0.00	0.01	120.00	1	2	0	0	860	948	938	3	0	528	0	120	0	2	0.16	0.63	0.01	120.00	1
116769	13853.36	14930.34	0.00	0.00	0.01	120.00	1	2	1	0	3	975	959	2	0	995	0	120	0	2	0.16	0.63	0.01	120.00	1
116785	13860.49	14937.47	0.00	0.00	0.01	120.00	1	3	3	2	0	971	969	0	0	999	0	120	0	2	0.16	0.63	0.01	120.00	1
116800	13867.62	14944.61	0.00	0.00	0.01	120.00	1	2	0	0	0	929	942	0	0	1003	0	120	0	2	0.16	0.63	0.01	120.00	1
116815	13874.76	14950.55	0.00	0.00	0.01	120.00	1	1	2	0	0	990	976	1	0	996	0	120	0	2	0.16	0.63	0.01	120.00	1
116830	13883.08	14955.31	0.00	0.00	0.01	120.00	1	1	0	0	7	977	985	0	0	1002	0	120	0	2	0.16	0.63	0.01	120.00	1
116845	13890.21	14961.25	0.00	0.00	0.01	120.00	1	0	0	0	894	1000	982	0	0	530	0	120	0	2	0.16	0.63	0.01	120.00	1
116860	13898.53	14966.00	0.00	0.00	0.01	120.00	1	1	0	0	965	973	3	0	0	2	120	117	0	2	0.16	0.63	0.01	120.00	1
116875	13908.04	14971.95	0.00	0.00	0.01	120.00	1	2	0	1	982	982	0	0	0	0	120	120	0	2	0.16	0.63	0.01	120.00	1
116890	13916.36	14976.70	0.00	0.00	0.01	120.00	1	0	0	843	951	979	0	0	0	-451	120	0	0	2	0.16	0.63	0.01	120.00	1
