millis	leftDistance	rightDistance	accel.x	accel.y	gyro.x	gyro.y	position	sensor1	sensor2	sensor3	sensor4	sensor5	sensor6	sensor7	sensor8	error	leftPWM	rightPWM	lost	last_sighted	Kp	Ki	Kd	Speed	ready
132799	35667.59	38702.39	0.00	0.00	1.54	117.30	0	0	3	977	948	14	6	12	20	-1008	117	0	0	1	0.23	0.000000	1.543000	117.300003	1
132804	35667.59	38702.39	0.00	0.00	1.54	117.30	1	0	4	977	948	14	6	12	20	-1008	117	0	0	1	0.23	0.000000	1.543000	117.300003	1
132819	35667.59	38703.59	0.00	0.00	1.54	117.30	1	0	1	962	962	11	3	5	9	-1000	117	0	0	1	0.23	0.000000	1.543000	117.300003	1
132825	35667.59	38703.59	0.00	0.00	1.54	117.30	1	0	1	960	979	14	4	5	9	-996	117	0	0	1	0.23	0.000000	1.543000	117.300003	1
132840	35667.59	38703.59	0.00	0.00	1.54	117.30	1	0	3	967	945	215	7	12	15	-854	95	117	0	1	0.23	0.000000	1.543000	117.300003	1
132856	35668.78	38704.77	0.00	0.00	1.54	117.30	1	0	0	979	935	406	4	5	8	-747	117	111	0	1	0.23	0.000000	1.543000	117.300003	1
132861	35668.78	38704.77	0.00	0.00	1.54	117.30	1	0	0	971	935	412	2	4	7	-742	117	0	0	1	0.23	0.000000	1.543000	117.300003	1
132877	35668.78	38705.96	0.00	0.00	1.54	117.30	1	0	3	986	928	457	9	14	20	-724	117	0	0	1	0.23	0.000000	1.543000	117.300003	1
132882	35668.78	38707.15	0.00	0.00	1.54	117.30	1	0	2	973	968	491	9	12	16	-699	117	0	0	1	0.23	0.000000	1.543000	117.300003	1
132897	35668.78	38708.34	0.00	0.00	1.54	117.30	1	0	0	918	978	750	6	7	9	-564	39	117	0	1	0.23	0.000000	1.543000	117.300003	1
132913	35669.97	38709.53	0.00	0.00	1.54	117.30	1	0	0	831	957	895	9	12	14	-477	93	117	0	1	0.23	0.000000	1.543000	117.300003	1
132918	35671.16	38709.53	0.00	0.00	1.54	117.30	1	0	0	812	961	901	6	6	7	-467	117	26	0	1	0.23	0.000000	1.543000	117.300003	1
132934	35671.16	38710.72	0.00	0.00	1.54	117.30	1	0	0	836	993	910	9	13	15	-473	117	0	0	1	0.23	0.000000	1.543000	117.300003	1
132940	35671.16	38711.91	0.00	0.00	1.54	117.30	1	0	1	802	987	902	12	17	20	-463	117	26	0	1	0.23	0.000000	1.543000	117.300003	1
132955	35671.16	38713.09	0.00	0.00	1.54	117.30	1	0	0	527	949	967	6	5	7	-320	0	117	0	1	0.23	0.000000	1.543000	117.300003	1
132960	35672.34	38713.09	0.00	0.00	1.54	117.30	1	0	0	355	942	945	8	7	8	-237	44	117	0	1	0.23	0.000000	1.543000	117.300003	1
132976	35673.54	38714.28	0.00	0.00	1.54	117.30	1	0	0	41	969	959	7	6	8	-3	0	117	0	1	0.23	0.000000	1.543000	117.300003	1
132991	35674.72	38715.47	0.00	0.00	1.54	117.30	1	0	0	251	955	935	8	7	7	-181	117	0	0	1	0.23	0.000000	1.543000	117.300003	1
